id,address
63,"Ewen Park Dog Run, Johnson Av, W 232 St, Riverdale Av, Bronx, NY"
64,"Raoul Wallenberg Playground, Highbridge Park, Amsterdam Avenue between W 189 St. and Laurel Hill Terrace, Manhattan, NY"
65,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
66,"Brust Park, Manhattan College Pkwy, Dash Pl, Greysto, Bronx, NY"
67,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY"
68,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY"
69,"New Settlement Community Center, 1501 Jerome Avenue, Bronx, NY"
70,"New York Public Library - Morningside Heights Branch, 2900 Broadway New York, New York United States, 10025, Manhattan"
71,"Stuyvesant Square, Rutherford Pl. To N D Perlman Pl., E 15 St. To E 17 St. , Manhattan, NY"
72,"New Settlement Community Center, 1501 Jerome Avenue, Bronx, NY"
73,"Sunnyside Community Services, 43-31 39th St, Queens, NY"
74,"Queens Public Library - Bayside, 214-20 Northern Blvd Bayside, New York United States, 11361, Queens"
75,"Brooklyn Public Library - Kings Highway Branch, 2115 Ocean Ave Brooklyn, New York United States, 11229"
76,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
77,"Queens Public Library - Corona, 38-23 104th St., Corona, NY 11368, Queens"
78,"NYPL - Eastchester Library, 1385 Gun Hill Road, Bronx, NY"
79,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
80,"NYPL - Hamilton Grange Library, 503 West 145th Street New York, New York United States, 10031, Manhattan"
81,"PS 503/PS 506 Beacon - Center for Family Life, 333 60th Street Brooklyn, New York, 11220"
82,"Multi-Use Room, Asser Levy Recreation Center, 392 Asser Levy Place, Manhattan, NY"
83,"Ryan Health- Chelsea Clinton Community Health Center, 645 10th Ave, New York, NY 10036, Manhattan"
84,"Fort Totten Park-Building 422 - NE Queens Headquarters, 422 Weaver Ave, Fort Totten, NY 11359, Queens"
85,"Bartow Community Center - Room 31, 2049 Bartow Avenue, Bronx, NY"
86,"Multi-Use Room C, McCarren Play Center, 776 Lorimer Street, Brooklyn, NY"
87,"Dance Room, Gertrude Ederle Recreation Center, 232 W. 60th St., Manhattan, NY"
89,"Gymnasium, St. John’s Recreation Center, 1251 Prospect Place, Brooklyn, NY"
90,"Sunnyside Community Services, 43-31 39th St, Queens, NY"
91,"Bronx River Forest at Burke Bridge, Bronx Park, Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St, Bronx, NY"
92,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
93,"Sunset Park Recreation Center, 4200 7th Avenue, Brooklyn, NY"
94,"Queensbridge Park House, Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St., Queens, NY"
95,"Ralph Bunche Park, 1 Ave., bet. E. 42 St. and E. 43 St., Manhattan, NY"
96,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
97,"Queens Public Library - Ozone Park, 92-24 Rockaway Blvd Queens, NY, 11417"
98,"NYPL- Bloomingdale Library, 150 West 100th Street, Manhattan, NY"
99,"NYC Department of Health and Mental Hygiene- Bedford-Stuyvesant Center, 485 Throop Ave Brooklyn, New York United States, 11221, Brooklyn"
100,"Brooklyn Public Library - Mill Basin, 2385 Ralph Avenue, Brooklyn, NY"
101,"P.S. 003 - The Bedford Village Community School, 50 Jefferson Ave Brooklyn NY 11216"
102,"HANAC Corona Beacon at P.S. 19Q, 40-10 99th St, Corona, NY 11368, Queens"
103,"Multi-Use Room - Full, A.R.R.O.W. Field House, 35-30 35th Street, Queens, NY"
104,"Pier 6, Brooklyn Bridge Park, Atlantic Avenue and Furman Street, Brooklyn, NY"
105,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY"
106,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
107,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY"
108,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY"
109,"Pure Life Movement Studio, 7217 13th Ave, Brooklyn, NY 11228"
110,"Sunnyside Community Services, 43-31 39th St, Queens, NY"
111,"Baychester Library, 2049 Asch Loop North, Bronx, NY"
112,"Brooklyn Public Library - Kings Highway Branch, 2115 Ocean Ave Brooklyn, New York United States, 11229"
113,"Shirley Chisolm Circle, Brower Park, St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave., Brooklyn, NY"
114,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
115,"Multi-Use Room, J. Hood Wright Recreation Center, 351 Fort Washington Avenue, Manhattan, NY"
116,"West 218th Street and Indian Road, Inwood Hill Park, Dyckman St, Hudson River, Harlem River S, Manhattan, NY"
117,"Oak Ridge, Forest Park, Queens, NY"
118,"Hudson Guild Fulton Community Center, 119 9th Ave New York, New York United States, 10001"
119,"Brownsville Neighborhood Health Action Center, 259 Bristol Street, Brooklyn, NY"
121,"Rock Climbing Wall Room, Gertrude Ederle Recreation Center, 232 W. 60th St., Manhattan, NY"
122,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
123,"NYPL - Chatham Square Library, 33 E Broadway New York, New York United States, 10002, Manhattan"
124,"NYPL - Countee Cullen Library, 104 W 136th St New York, New York United States, 10030"
125,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
126,"Gymnasium, St. John’s Recreation Center, 1251 Prospect Place, Brooklyn, NY"
127,"Brooklyn Public Library - Park Slope, 431 6th Ave, Brooklyn, NY 11215, Brooklyn"
128,"Queensbridge Park House, Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St., Queens, NY"
129,"Dance Room, St. James Recreation Center, 2530 Jerome Ave, The Bronx, NY 10468, Bronx"
130,"New York Public Library - Morningside Heights Branch, 2900 Broadway New York, New York United States, 10025, Manhattan"
131,"NYPL - Spuyten Duyvil, 650 West 235th Street, Bronx, NY"
132,"Oak Ridge, Forest Park, Queens, NY"
133,"Hillside Arts and Letters Academy, 167-01 Gothic Drive, Queens, NY, Queens"
134,"Herbert Von King Cultural Arts Center, 670 Lafayette Avenue, Brooklyn, NY"
135,"Fit4Dance NYC, 21 Snyder Ave Brooklyn, New York United States, 11226, Brooklyn"
136,"NYPL - George Bruce, 518 West 125th Street, Manhattan, NY"
137,"Dance Room, Hamilton Fish Recreation Center, 128 Pitt Street, Manhattan, NY"
138,"Queens Public Library - Corona, 38-23 104th St., Corona, NY 11368, Queens"
139,"Queens Public Library - Bayside, 214-20 Northern Blvd Bayside, New York United States, 11361, Queens"
140,"Multi-Use Room D, McCarren Play Center, 776 Lorimer Street, Brooklyn, NY"
141,"Queens Public Library - Broadway, 40-20 Broadway, Long Island City, Queens, NY"
142,"GreenThumb Office, 100 Gold Street, Suite 3100, Manhattan, NY"
143,"Queens Public Library - Sunnyside, 43-06 Greenpoint Avenue, Queens, NY"
144,"Dance Room, Thomas Jefferson Recreation Center, 2180 First Avenue, Manhattan, NY"
145,"Queens Public Library - East Elmhurst, 95-06 Astoria Blvd Queens, New York United States, 11369, Queens"
146,"Dance Room, Chelsea Recreation Center, 430 W. 25th Street, Manhattan, NY"
147,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
148,"Stage, Hunts Point Recreation Center, 765 Manida Street, Bronx, NY, Bronx"
149,"United Nations Ave South Entrance, Flushing Meadows Corona Park, Grand Central Pkwy, Van Wyck Exwy, Queens, NY"
150,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
151,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY"
153,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY"
154,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY"
155,"Dance Room, Constance Baker Motley Recreation Center, 348 East 54 Street, Manhattan, NY"
156,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
157,"Vermont Place Parking Lot, Highland Park, Vermont Place and Highland Boulevard, Queens, NY"
158,"Tilden Senior Center, 630 Mother Gaston Blvd Brooklyn, New York United States, 11212"
159,"Brooklyn Public Library - Sheepshead Bay, 2636 E. 14th St Brooklyn, NY 11235"
160,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
161,"Multi-Use Room A, Pelham Fritz Recreation Center, 18 Mount Morris Park West, Manhattan, NY"
162,"Multi-Use Room B, Pelham Fritz Recreation Center, 18 Mount Morris Park West, Manhattan, NY"
163,"Ryan Health- Chelsea Clinton Community Health Center, 645 10th Ave, New York, NY 10036, Manhattan"
164,"NYC Department of Health and Mental Hygiene- Bedford-Stuyvesant Center, 485 Throop Ave Brooklyn, New York United States, 11221, Brooklyn"
165,"NYC Department of Health and Mental Hygiene- East Harlem Neighborhood Health Action Center, 158 E 115th st New York, New York United States, 10029, Manhattan"
166,"Gymnasium (Full), Kwame Ture Recreation Center, 1527 Jesup Avenue, Bronx, NY"
