id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
21,"Westerleigh Park, Willard Ave., Springfield Ave., Maine Ave., Neal Dow Ave. , Staten Island, NY",40.615381,-74.136328,1,street_center,"Neal Dow Ave",,"Staten Island, NY 10314",,"Neal Dow Ave",,,"Staten Island",NY,"Richmond County",10314,US,"TIGER/Line® dataset from the US Census Bureau"
22,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY",40.591722,-74.139209,1,rooftop,"501 Brielle Ave",,"Staten Island, NY 10314",501,"Brielle Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
23,"Gymnasium (Court), Al Oerter Recreation Center, 131-40 Fowler Ave., Queens, NY",40.751669,-73.833948,1,street_center,"Fowler Ave",,"Flushing, NY 11355",,"Fowler Ave",,,Flushing,NY,"Queens County",11355,US,"TIGER/Line® dataset from the US Census Bureau"
24,"St. Mary's Annual 5K Start, East 149th and Eagle Ave, Bronx, NY",40.810341,-73.914756,1,street_center,"St Marys St",,"Bronx, NY 10454",,"St Marys St",,,Bronx,NY,"Bronx County",10454,US,"TIGER/Line® dataset from the US Census Bureau"
25,"Entrance - Lafayette Avenue and Morrison Avenue, Soundview Park, Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr. , Bronx, NY",40.80597,-73.851505,1,street_center,"Surf Dr",,"Bronx, NY 10473",,"Surf Dr",,,Bronx,NY,"Bronx County",10473,US,"TIGER/Line® dataset from the US Census Bureau"
26,"Lawn Near 79th Street Entrance, Shore Park and Parkway, 4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge, Brooklyn, NY",40.591234,-73.982243,1,range_interpolation,"4 Ave W",,"Brooklyn, NY 11223",4,"Ave W",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® from the US Census Bureau"
27,"Elton Street and Jamaica Avenue, Highland Park, Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy, Queens, NY",40.690629,-73.889069,1,street_center,"Jackie Robinson Pkwy",,"Ridgewood, NY 11385",,"Jackie Robinson Pkwy",,,Ridgewood,NY,"Queens County",11385,US,"OpenStreetMap Contributors"
28,"Canarsie Park House, 88th Street and Seaview Avenue, Brooklyn, NY",40.632251,-73.89221,1,intersection,"Canarsie Rd and Seaview Ave",,"Brooklyn, NY 11236",,"Canarsie Rd",,,Brooklyn,NY,"Kings County",11236,US,"© OpenStreetMap contributors"
29,"Baisley Pond Park House, Rockaway & Sutphin Boulevards, Queens, NY",40.682066,-73.771573,0.93,street_center,"Baisley Blvd",,"Jamaica, NY 11434",,"Baisley Blvd",,,Jamaica,NY,"Queens County",11434,US,"TIGER/Line® dataset from the US Census Bureau"
30,"Astoria Park, Queens, NY",40.767525,-73.904162,0.9,street_center,"Astoria Blvd",,"Astoria, NY 11103",,"Astoria Blvd",,,Astoria,NY,"Queens County",11103,US,"TIGER/Line® dataset from the US Census Bureau"
31,"Monsignor McGolrick Park, Msgr. McGolrick Park, Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave., Brooklyn, NY",40.681685,-74.001497,0.75,street_center,"Monsignor Delveccio Pl",,"Brooklyn, NY 11231",,"Monsignor Delveccio Pl",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
32,"Queens Community House Beacon @ PS 149, 93-11 34th Ave, Queens, NY",40.619633,-74.036807,0.98,range_interpolation,"149 93rd St",,"Brooklyn, NY 11209",149,"93rd St",,,Brooklyn,NY,"Kings County",11209,US,"TIGER/Line® from the US Census Bureau"
33,"Pier 35, East River Waterfront Esplanade, Rutgers Slip and South St, Manhattan, NY",40.746781,-73.978558,0.93,street_center,"E 35th St",,"New York, NY 10016",,"E 35th St",,,"New York",NY,"New York County",10016,US,"TIGER/Line® dataset from the US Census Bureau"
34,"Arthur Kill Road and Brookfield Avenue, Brookfield Park, Arthur Kill Rd. bet. Richmond Ave. and New Vale Ave., Staten Island, NY",40.56171,-74.16007,1,intersection,"Arthur Kill Rd and Brookfield Ave",,"Staten Island, NY 10308",,"Arthur Kill Rd",,,"Staten Island",NY,"Richmond County",10308,US,"© OpenStreetMap contributors"
35,"Gymnasium, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY",40.842852,-73.934363,1,rooftop,"2301 Amsterdam Ave",,"New York, NY 10033",2301,"Amsterdam Ave",,,"New York",NY,"New York County",10033,US,"City of New York"
36,"Leif Ericson Park, 67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy., Brooklyn, NY",40.629647,-74.010699,1,intersection,"67th St and Ft Hamilton Pkwy",,"Brooklyn, NY 11220",,"67th St",,,Brooklyn,NY,"Kings County",11220,US,"© OpenStreetMap contributors"
37,"Poe Park, Grand Concourse bet. E. 192 St. and E. K, Bronx, NY",40.864076,-73.895095,1,street_center,"E 192nd St",,"Bronx, NY 10468",,"E 192nd St",,,Bronx,NY,"Bronx County",10468,US,"TIGER/Line® dataset from the US Census Bureau"
38,"Gymnasium, St. John’s Recreation Center, 1251 Prospect Place, Brooklyn, NY",40.673739,-73.93487,1,rooftop,"1251 Prospect Pl",,"Brooklyn, NY 11213",1251,"Prospect Pl",,,Brooklyn,NY,"Kings County",11213,US,"City of New York"
39,"Queens Public Library - Cambria Heights, 218-13 Linden Blvd, Queens, NY 11411",40.695627,-73.741197,1,rooftop,"218-13 Linden Blvd",,"Cambria Heights, NY 11411",218-13,"Linden Blvd",,,"Cambria Heights",NY,"Queens County",11411,US,"City of New York"
40,"BPL- Macon Library, 361 Lewis Avenue, Brooklyn, Brooklyn, NY",40.682997,-73.934905,1,rooftop,"361 Lewis Ave",,"Brooklyn, NY 11233",361,"Lewis Ave",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
41,"Brooklyn Public Library - New Utrecht, 1743 86th Street, New York, NY",40.607978,-74.003492,0.86,rooftop,"1743 86th St",,"Brooklyn, NY 11214",1743,"86th St",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
42,"Rock Climbing Wall Room, Gertrude Ederle Recreation Center, 232 W. 60th St., Manhattan, NY",40.769615,-73.983773,1,street_center,"W 60th St",,"New York, NY 10023",,"W 60th St",,,"New York",NY,"New York County",10023,US,"TIGER/Line® dataset from the US Census Bureau"
43,"BronxWorks - Classic Community Center, 286 East 156th Street, Bronx, NY",40.821536,-73.920267,1,rooftop,"286 E 156th St",,"Bronx, NY 10451",286,"E 156th St",,,Bronx,NY,"Bronx County",10451,US,"City of New York"
44,"Queens Public Library - Far Rockaway, 1637 Central Ave Far Rockaway, New York, 11691",40.604311,-73.752606,1,rooftop,"16-37 Central Ave",,"Far Rockaway, NY 11691",16-37,"Central Ave",,,"Far Rockaway",NY,"Queens County",11691,US,"City of New York"
45,"BronxWorks - Classic Community Center, 286 East 156th Street, Bronx, NY",40.821536,-73.920267,1,rooftop,"286 E 156th St",,"Bronx, NY 10451",286,"E 156th St",,,Bronx,NY,"Bronx County",10451,US,"City of New York"
46,"Almira Kennedy Coursey Amphitheatre, Herbert Von King Park, Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave., Brooklyn, NY",40.649291,-73.879893,0.85,street_center,"Elmira Loop",,"Brooklyn, NY 11239",,"Elmira Loop",,,Brooklyn,NY,"Kings County",11239,US,"TIGER/Line® dataset from the US Census Bureau"
47,"NYPL - Tompkins Square Library, 331 East 10th Street (btw Aves A&B), Manhattan, NY",40.727223,-73.980475,1,rooftop,"331 E 10th St",,"New York, NY 10009",331,"E 10th St",,,"New York",NY,"New York County",10009,US,"City of New York"
48,"Dance Room, Chelsea Recreation Center, 430 W. 25th Street, Manhattan, NY",40.748348,-74.001995,1,rooftop,"430 W 25th St",,"New York, NY 10001",430,"W 25th St",,,"New York",NY,"New York County",10001,US,"City of New York"
49,"Ballroom, Fort Hamilton Senior Recreation Center, 9941 Fort Hamilton Parkway, Brooklyn, NY",40.611894,-74.031747,1,rooftop,"9941 Ft Hamilton Pkwy",,"Brooklyn, NY 11209",9941,"Ft Hamilton Pkwy",,,Brooklyn,NY,"Kings County",11209,US,"City of New York"
50,"Brooklyn Public Library - Marcy, 617 Dekalb Avenue, Brooklyn, NY 11216, Brooklyn",40.691501,-73.951274,1,rooftop,"617 Dekalb Ave",,"Brooklyn, NY 11216",617,"Dekalb Ave",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
51,"Multi-Use Room B, Pelham Fritz Recreation Center, 18 Mount Morris Park West, Manhattan, NY",40.80491,-73.945021,1,rooftop,"18 Mt Morris Park W",,"New York, NY 10027",18,"Mt Morris Park W",,,"New York",NY,"New York County",10027,US,"City of New York"
52,"Rochdale Village Community Center, 169-65 137th Ave, Jamaica, NY 11434",40.674096,-73.770909,1,rooftop,"169-65 137th Ave",,"Jamaica, NY 11434",169-65,"137th Ave",,,Jamaica,NY,"Queens County",11434,US,"City of New York"
53,"West 218th Street and Indian Road, Inwood Hill Park, Dyckman St, Hudson River, Harlem River S, Manhattan, NY",40.873022,-73.918459,1,intersection,"Indian Rd and W 218th St",,"New York, NY 10034",,"Indian Rd",,,"New York",NY,"New York County",10034,US,"© OpenStreetMap contributors"
54,"Raoul Wallenberg Playground, Highbridge Park, Amsterdam Avenue between W 189 St. and Laurel Hill Terrace, Manhattan, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
55,"Broadway and Mosholu Avenue, Van Cortlandt Park, Broadway, Jerome Ave,City Line,Van Cortlandt Pk S, Bronx, NY",40.904526,-73.896429,1,intersection,"Broadway and Mosholu Ave",,"Bronx, NY 10471",,Broadway,,,Bronx,NY,"Bronx County",10471,US,"© OpenStreetMap contributors"
56,"Conference House Park, Pittsville St., Hylan Blvd. Richard Ave., Staten Island, NY",40.509517,-74.224149,1,street_center,"Richard Ave",,"Staten Island, NY 10309",,"Richard Ave",,,"Staten Island",NY,"Richmond County",10309,US,"TIGER/Line® dataset from the US Census Bureau"
57,"Cunningham Park Parking Lot, Union Turnpike and 197th Street, Queens, NY",40.711246,-73.763452,1,street_center,"197th St",,"Hollis, NY 11423",,"197th St",,,Hollis,NY,"Queens County",11423,US,"TIGER/Line® dataset from the US Census Bureau"
58,"Carmine Carro Community Center, Marine Park, 3000 Fillmore Ave, Brooklyn, NY",40.607976,-73.937365,1,rooftop,"3000 Fillmore Ave",,"Brooklyn, NY 11234",3000,"Fillmore Ave",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
59,"McKinley Park, 73 St., Ft. Hamilton Pkwy., 7 Ave., Brooklyn, NY",40.67517,-73.974815,1,rooftop,"73 7th Ave",,"Brooklyn, NY 11217",73,"7th Ave",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
60,"Sunset Park Recreation Center, 4200 7th Avenue, Brooklyn, NY",40.646882,-74.002041,1,rooftop,"4200 7th Ave",,"Brooklyn, NY 11232",4200,"7th Ave",,,Brooklyn,NY,"Kings County",11232,US,"City of New York"
61,"Fort Greene Park Visitor Center, Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St., Brooklyn, NY",40.688479,-73.976845,1,street_center,"Ft Greene Pl",,"Brooklyn, NY 11217",,"Ft Greene Pl",,,Brooklyn,NY,"Kings County",11217,US,"TIGER/Line® dataset from the US Census Bureau"
62,"Potamogeton Pond, Grand Central Parkway, Queens, NY",40.747492,-73.84872,1,street_center,"Grand Central Pkwy",,"Corona, NY 11368",,"Grand Central Pkwy",,,Corona,NY,"Queens County",11368,US,"OpenStreetMap Contributors"
63,"Ewen Park Dog Run, Johnson Av, W 232 St, Riverdale Av, Bronx, NY",40.905803,-73.9044,0.7,street_center,"Riverdale Ave",,"Bronx, NY 10471",,"Riverdale Ave",,,Bronx,NY,"Bronx County",10471,US,"TIGER/Line® dataset from the US Census Bureau"
64,"Raoul Wallenberg Playground, Highbridge Park, Amsterdam Avenue between W 189 St. and Laurel Hill Terrace, Manhattan, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
65,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY",40.727614,-73.992389,1,rooftop,"29 E 4th St",,"New York, NY 10003",29,"E 4th St",,,"New York",NY,"New York County",10003,US,"City of New York"
66,"Brust Park, Manhattan College Pkwy, Dash Pl, Greysto, Bronx, NY",40.83153,-73.894837,0.85,street_center,"Bristow St",,"Bronx, NY 10459",,"Bristow St",,,Bronx,NY,"Bronx County",10459,US,"TIGER/Line® dataset from the US Census Bureau"
67,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY",40.653302,-73.908472,1,street_center,"Bristol St",,"Brooklyn, NY 11236",,"Bristol St",,,Brooklyn,NY,"Kings County",11236,US,"TIGER/Line® dataset from the US Census Bureau"
68,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY",40.767607,-73.908661,1,street_center,"43rd St",,"Astoria, NY 11103",,"43rd St",,,Astoria,NY,"Queens County",11103,US,"TIGER/Line® dataset from the US Census Bureau"
69,"New Settlement Community Center, 1501 Jerome Avenue, Bronx, NY",40.842618,-73.916241,1,rooftop,"1501 Jerome Ave",,"Bronx, NY 10452",1501,"Jerome Ave",,,Bronx,NY,"Bronx County",10452,US,"City of New York"
70,"New York Public Library - Morningside Heights Branch, 2900 Broadway New York, New York United States, 10025, Manhattan",40.806174,-73.964917,1,rooftop,"2900 Broadway",,"New York, NY 10025",2900,Broadway,,,"New York",NY,"New York County",10025,US,"City of New York"
71,"Stuyvesant Square, Rutherford Pl. To N D Perlman Pl., E 15 St. To E 17 St. , Manhattan, NY",40.7299,-73.989089,1,street_center,"Stuyvesant St",,"New York, NY 10003",,"Stuyvesant St",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
72,"New Settlement Community Center, 1501 Jerome Avenue, Bronx, NY",40.842618,-73.916241,1,rooftop,"1501 Jerome Ave",,"Bronx, NY 10452",1501,"Jerome Ave",,,Bronx,NY,"Bronx County",10452,US,"City of New York"
73,"Sunnyside Community Services, 43-31 39th St, Queens, NY",40.744961,-73.925802,1,rooftop,"43-31 39th St",,"Sunnyside, NY 11104",43-31,"39th St",,,Sunnyside,NY,"Queens County",11104,US,"City of New York"
74,"Queens Public Library - Bayside, 214-20 Northern Blvd Bayside, New York United States, 11361, Queens",40.760222,-73.768439,1,rooftop,"214-20 Northern Blvd",,"Bayside, NY 11361",214-20,"Northern Blvd",,,Bayside,NY,"Queens County",11361,US,"City of New York"
75,"Brooklyn Public Library - Kings Highway Branch, 2115 Ocean Ave Brooklyn, New York United States, 11229",40.610289,-73.953252,1,rooftop,"2115 Ocean Ave",,"Brooklyn, NY 11229",2115,"Ocean Ave",,,Brooklyn,NY,"Kings County",11229,US,"City of New York"
