id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
48,"Producers Club Theaters, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
49,"Producers Club Theaters, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
50,"1626 Broadway, New York, NY",40.76096,-73.984132,1,rooftop,"1626 Broadway",,"New York, NY 10019",1626,Broadway,,,"New York",NY,"New York County",10019,US,"City of New York"
51,"The Charleston, Brooklyn, New York, NY",40.727423,-74.008338,0.88,street_center,"Charlton St",,"New York, NY 10014",,"Charlton St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
53,"Pier 57, New York, NY",40.750422,-73.996328,0.5,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
54,"NYU/Casa Italiana Zerilli-Marimò, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
57,"Prince Coffee House, Bronx, New York, NY",40.726803,-74.002972,0.93,street_center,"Prince St",,"New York, NY 10012",,"Prince St",,,"New York",NY,"New York County",10012,US,"TIGER/Line® dataset from the US Census Bureau"
59,"New-York Historical Society Museum & Library, New York, NY",40.703125,-74.010852,1,street_center,"New York Plz",,"New York, NY 10004",,"New York Plz",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
60,"Twist Coffee, Brooklyn, New York, NY",40.675028,-74.010238,0.85,street_center,"Dwight St",,"Brooklyn, NY 11231",,"Dwight St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
61,"Squarrel Cafe, Brooklyn, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
62,"Strong Rope Brewery, Brooklyn, New York, NY",40.685481,-73.997722,0.9,street_center,"Strong Pl",,"Brooklyn, NY 11231",,"Strong Pl",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
65,"Brooklyn Public Library-Dyker, Brooklyn, New York, NY",40.712415,-74.004865,0.9,street_center,"Brooklyn Brg",,"New York, NY 10038",,"Brooklyn Brg",,,"New York",NY,"New York County",10038,US,"OpenStreetMap Contributors"
67,"Karaoke at Planet Rose, New York, NY",40.652658,-73.962915,0.76,street_center,"Crooke Ave",,"Brooklyn, NY 11226",,"Crooke Ave",,,Brooklyn,NY,"Kings County",11226,US,"TIGER/Line® dataset from the US Census Bureau"
68,"Gansevoort Peninsula, New York, NY",40.73938,-74.009762,0.93,street_center,"Gansevoort St",,"New York, NY 10014",,"Gansevoort St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
69,"Hoboken, Hoboken, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
70,"The Green Room 42, NY",43.20886,-75.383365,1,place,,,"Rome, NY 13440",,,,,Rome,NY,"Oneida County",13440,US,"TIGER/Line® dataset from the US Census Bureau"
72,"115 E 57th Street, NY",42.913397,-75.596272,1,state,,,NY,,,,,,NY,,,US,"TIGER/Line® dataset from the US Census Bureau"
73,"Carmines, New York, NY",40.730453,-74.002077,1,street_center,"Carmine St",,"New York, NY 10014",,"Carmine St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
74,"Amsterdam Ale House, New York, NY",40.806638,-73.961185,1,street_center,"Amsterdam Ave",,"New York, NY 10027",,"Amsterdam Ave",,,"New York",NY,"New York County",10027,US,"TIGER/Line® dataset from the US Census Bureau"
75,"Hudson Eats, New York, NY",40.722715,-74.008151,0.93,street_center,"Hudson St",,"New York, NY 10013",,"Hudson St",,,"New York",NY,"New York County",10013,US,"OpenStreetMap Contributors"
76,"Big Apple Chorus, New York, NY",40.867667,-73.926704,0.83,street_center,"Beak St",,"New York, NY 10034",,"Beak St",,,"New York",NY,"New York County",10034,US,"TIGER/Line® dataset from the US Census Bureau"
80,"Essex Market, Manhattan, New York, NY",40.714665,-73.990202,0.93,street_center,"Essex St",,"New York, NY 10002",,"Essex St",,,"New York",NY,"New York County",10002,US,"TIGER/Line® dataset from the US Census Bureau"
81,"Regal Union Square, New York, NY",40.734874,-73.991991,1,street_center,"Union Sq S",,"New York, NY 10003",,"Union Sq S",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
82,"Central Park South & Avenue of the Americas, New York, NY",40.765123,-73.974935,1,street_center,"Central Park S",,"New York, NY 10019",,"Central Park S",,,"New York",NY,"New York County",10019,US,"TIGER/Line® dataset from the US Census Bureau"
84,"Bermibau, new york, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
85,"Bohemian Spirit, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
86,"Gapstow Bridge, New York, NY",40.703583,-74.012354,0.93,street_center,"Bridge St",,"New York, NY 10004",,"Bridge St",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
87,"Shake Shack Meatpacking District, New York, NY",40.5572,-73.92511,0.54,street_center,"Tioga Walk",,"Breezy Point, NY 11697",,"Tioga Walk",,,"Breezy Point",NY,"Queens County",11697,US,"TIGER/Line® dataset from the US Census Bureau"
88,"Heart of Gold, Queens, New York, NY",40.702322,-73.922357,0.79,street_center,"Hart St",,"Brooklyn, NY 11237",,"Hart St",,,Brooklyn,NY,"Kings County",11237,US,"TIGER/Line® dataset from the US Census Bureau"
91,"The Hugh, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
96,"The Globe Bar, New York, NY",40.688106,-74.023299,0.83,street_center,"Bear Rd",,"New York, NY 10004",,"Bear Rd",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
97,"Young Ethel’s, Brooklyn, New York, NY",40.712415,-74.004865,0.9,street_center,"Brooklyn Brg",,"New York, NY 10038",,"Brooklyn Brg",,,"New York",NY,"New York County",10038,US,"OpenStreetMap Contributors"
98,"Central Park entrance @ Central Park South (59th St.) and 6th Ave., New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
100,"The Rock Church - Queens, Elmhurst, New York, NY",40.704126,-73.932122,0.86,street_center,"Rock St",,"Brooklyn, NY 11206",,"Rock St",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
101,"outro nyc, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
102,"Sip & Play, Brooklyn, New York, NY",40.712415,-74.004865,0.9,street_center,"Brooklyn Brg",,"New York, NY 10038",,"Brooklyn Brg",,,"New York",NY,"New York County",10038,US,"OpenStreetMap Contributors"
104,"The Africa Center, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
105,"Bethesda Terrace, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
107,"Berry Park, NY",40.762574,-73.323061,1,place,,,"Deer Park, NY 11729",,,,,"Deer Park",NY,"Suffolk County",11729,US,"TIGER/Line® dataset from the US Census Bureau"
110,"110 E 55th St 12th floor, New York, NY",40.759958,-73.971107,1,rooftop,"110 E 55th St","Fl 12","New York, NY 10022",110,"E 55th St",Fl,12,"New York",NY,"New York County",10022,US,"City of New York"
111,"Queen Margherita Trattoria, Nutley, New York, NY",40.760942,-73.673494,0.5,street_center,"Queens Ln",,"New Hyde Park, NY 11040",,"Queens Ln",,,"New Hyde Park",NY,"Nassau County",11040,US,"TIGER/Line® dataset from the US Census Bureau"
112,"Bar Primi Penn District, New York, NY",40.688106,-74.023299,0.88,street_center,"Bear Rd",,"New York, NY 10004",,"Bear Rd",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
113,"Squarrel Cafe, Brooklyn, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
115,"92nd Street Y, New York, NY",40.600703,-73.961679,0.61,nearest_rooftop_match,"925 Ave T",Y,"Brooklyn, NY 11223",925,"Ave T",,Y,Brooklyn,NY,"Kings County",11223,US,"City of New York"
116,"The Center for Fiction, Brooklyn, New York, NY",40.582976,-73.95811,0.63,street_center,"Guider Ave",,"Brooklyn, NY 11235",,"Guider Ave",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
118,"The Sleeping Cat, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
120,"Bedford Library, Brooklyn, New York, NY",40.729601,-74.003807,0.93,street_center,"Bedford St",,"New York, NY 10014",,"Bedford St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
121,"Go Hard Dance Studio, New York, NY",40.733771,-74.000314,0.85,street_center,"Gay St",,"New York, NY 10014",,"Gay St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
122,"Amazon Go - Brookfield Place, New York City, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
123,"Phebes, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
