id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
31,"Fairview Park, New York, NY",40.857077,-73.930989,0.93,street_center,"Fairview Ave",,"New York, NY 10040",,"Fairview Ave",,,"New York",NY,"New York County",10040,US,"TIGER/Line® dataset from the US Census Bureau"
32,"LEXINGTON AVENUE between EAST   60 STREET and EAST   59 STREET, New York, NY",40.769615,-73.983773,1,street_center,"W 60th St",,"New York, NY 10023",,"W 60th St",,,"New York",NY,"New York County",10023,US,"TIGER/Line® dataset from the US Census Bureau"
33,"Chelsea Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
34,"Stop & Go Playground, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
35,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
36,"Sara D. Roosevelt Park, New York, NY",40.878163,-73.900021,0.85,street_center,"Shrady Pl",,"Bronx, NY 10463",,"Shrady Pl",,,Bronx,NY,"Bronx County",10463,US,"TIGER/Line® dataset from the US Census Bureau"
37,"Red Hook Recreation Area, New York, NY",40.691415,-73.988649,0.97,street_center,"Red Hook Ln",,"Brooklyn, NY 11201",,"Red Hook Ln",,,Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
38,"Stuyvesant Square, New York, NY",40.7299,-73.989089,1,street_center,"Stuyvesant St",,"New York, NY 10003",,"Stuyvesant St",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
39,"Marx Brothers Playground, New York, NY",40.715055,-74.012217,0.75,street_center,"Murray St",,"New York, NY 10007",,"Murray St",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
40,"Cunningham Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
41,"West Playground, New York, NY",40.755874,-73.956539,0.9,street_center,"West Rd",,"New York, NY 10044",,"West Rd",,,"New York",NY,"New York County",10044,US,"TIGER/Line® dataset from the US Census Bureau"
42,"Bushwick Inlet Park, New York, NY",40.704311,-73.938569,0.86,street_center,"Bushwick Ct",,"Brooklyn, NY 11206",,"Bushwick Ct",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
43,"Madison Square Park, New York, NY",40.711839,-73.999096,1,street_center,"Madison St",,"New York, NY 10038",,"Madison St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
44,"Columbus Park, New York, NY",40.768102,-73.98242,0.93,street_center,"Columbus Cir",,"New York, NY 10023",,"Columbus Cir",,,"New York",NY,"New York County",10023,US,"TIGER/Line® dataset from the US Census Bureau"
46,"De Witt Clinton Park, New York, NY",40.725789,-73.974501,0.93,street_center,"Ave D",,"New York, NY 10009",,"Ave D",,,"New York",NY,"New York County",10009,US,"TIGER/Line® dataset from the US Census Bureau"
47,"Union Square Park, New York, NY",40.734874,-73.991991,1,street_center,"Union Sq S",,"New York, NY 10003",,"Union Sq S",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
48,"550 WEST  155 STREET, New York, NY",40.832198,-73.94506,1,rooftop,"550 W 155th St",,"New York, NY 10032",550,"W 155th St",,,"New York",NY,"New York County",10032,US,"City of New York"
49,"Sunset Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
50,"Union Square Park, New York, NY",40.734874,-73.991991,1,street_center,"Union Sq S",,"New York, NY 10003",,"Union Sq S",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
51,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
53,"Frank Principe Park / Maurice Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
55,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
56,"Flushing Meadows Corona Park, New York, NY",40.712749,-73.917992,0.79,street_center,"Flushing Ave",,"Ridgewood, NY 11385",,"Flushing Ave",,,Ridgewood,NY,"Queens County",11385,US,"TIGER/Line® dataset from the US Census Bureau"
57,"Prospect Park, New York, NY",40.659293,-73.976334,0.94,street_center,"Prospect Park SW",,"Brooklyn, NY 11215",,"Prospect Park SW",,,Brooklyn,NY,"Kings County",11215,US,"TIGER/Line® dataset from the US Census Bureau"
58,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
59,"West Playground, New York, NY",40.755874,-73.956539,0.9,street_center,"West Rd",,"New York, NY 10044",,"West Rd",,,"New York",NY,"New York County",10044,US,"TIGER/Line® dataset from the US Census Bureau"
60,"McCarren Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
61,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
62,"Randall's Island Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
63,"Helen Marshall Playground, New York, NY",40.723006,-73.688909,0.54,street_center,"Helen Ct",,"Floral Park, NY 11001",,"Helen Ct",,,"Floral Park",NY,"Nassau County",11001,US,"TIGER/Line® dataset from the US Census Bureau"
64,"Madison Square Park, New York, NY",40.711839,-73.999096,1,street_center,"Madison St",,"New York, NY 10038",,"Madison St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
65,"Marcus Garvey Park, New York, NY",40.68016,-73.937483,0.91,street_center,"Marcus Garvey Blvd",,"Brooklyn, NY 11216",,"Marcus Garvey Blvd",,,Brooklyn,NY,"Kings County",11216,US,"TIGER/Line® dataset from the US Census Bureau"
66,"Frank Principe Park / Maurice Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
