id,address
184,"James J Walker Park, New York, NY"
185,"Ferry Point Park, New York, NY"
186,"Kissena Park, New York, NY"
187,"Calvert Vaux Park, New York, NY"
188,"Kennedy Playground /Raymond O'Connor, New York, NY"
189,"Central Park, New York, NY"
190,"Red Hook Recreation Area, New York, NY"
191,"Randall's Island Park, New York, NY"
193,"Bloomingdale Playground, New York, NY"
194,"James J Walker Park, New York, NY"
195,"Addabbo Park, New York, NY"
196,"Bill Brown Playground, New York, NY"
197,"Reiff Playground, New York, NY"
198,"Macombs Dam Park, New York, NY"
200,"Randall's Island Park, New York, NY"
201,"Riverside Park, New York, NY"
202,"Central Park, New York, NY"
203,"Forest Park, New York, NY"
204,"Red Hook Recreation Area, New York, NY"
205,"Central Park, New York, NY"
206,"Freshkills Park, New York, NY"
208,"Parade Ground, New York, NY"
209,"WEST BROADWAY between PRINCE STREET and SPRING STREET, New York, NY"
210,"Madison Square Park, New York, NY"
211,"Madison Square Park, New York, NY"
212,"Lou Gehrig Plaza, New York, NY"
213,"Randall's Island Park, New York, NY"
215,"Randall's Island Park, New York, NY"
217,"Madison Square Park, New York, NY"
218,"Pontiac Playground, New York, NY"
219,"Union Square Park, New York, NY"
221,"Columbus Park, New York, NY"
223,"East River Park, New York, NY"
224,"Madison Square Park, New York, NY"
225,"Damrosch Park, New York, NY"
226,"Frank Principe Park / Maurice Park, New York, NY"
227,"EAST   75 STREET between 1 AVENUE and 2 AVENUE, New York, NY"
228,"Parade Ground, New York, NY"
229,"Madison Square Park, New York, NY"
230,"Sara D. Roosevelt Park, New York, NY"
231,"AMSTERDAM AVENUE between WEST  109 STREET and WEST  110 STREET, New York, NY"
233,"Madison Square Park, New York, NY"
234,"Asser Levy Playground, New York, NY"
236,"Carl Schurz Park, New York, NY"
237,"WEST BROADWAY between PRINCE STREET and SPRING STREET, New York, NY"
238,"Madison Square Park, New York, NY"
240,"Madison Square Park, New York, NY"
241,"Flushing Meadows Corona Park, New York, NY"
242,"Bill Brown Playground, New York, NY"
243,"Wagner Playground, New York, NY"
244,"Big Bush Park, New York, NY"
245,"Bush Terminal Park, New York, NY"
246,"Bushwick Playground, New York, NY"
247,"Randall's Island Park, New York, NY"
249,"Pier 42, New York, NY"
250,"Astoria Park, New York, NY"
251,"Central Park, New York, NY"
252,"31 AVENUE OPEN STREET, New York, NY"
255,"West Playground, New York, NY"
256,"Randall's Island Park, New York, NY"
258,"East River Park, New York, NY"
259,"EAST   76 STREET between MADISON AVENUE and FIFTH AVENUE, New York, NY"
260,"St. Michael's Playground, New York, NY"
261,"Madison Square Park, New York, NY"
262,"CASTLE HILL AVENUE between WESTCHESTER AVENUE and STARLING AVENUE, New York, NY"
263,"East River Park, New York, NY"
264,"Madison Square Park, New York, NY"
265,"Bush Terminal Park, New York, NY"
266,"Madison Square Park, New York, NY"
267,"Randall's Island Park, New York, NY"
268,"Randall's Island Park, New York, NY"
269,"Randall's Island Park, New York, NY"
270,"Fort Tryon Park, New York, NY"
271,"Central Park, New York, NY"
272,"Astoria Park, New York, NY"
273,"Murray Playground, New York, NY"
274,"Forest Park, New York, NY"
275,"Fort Tryon Park, New York, NY"
